"Id","StationID","TurbinID","PeriodType","PeriodValue","URT","Consumption","NominalURT"
237,9,"07",2,289,"2029.0950491736273","2611115","0"
238,9,"08",2,99,"2010.4543147823845","845114","0"
239,12,"01",2,186,"1705.7789830728263","1262793.4650000005","1670.0203225806447"
240,13,"01",2,314,"2471.1982042124764","100911.42599999995","3127.283216560509"
241,13,"02",2,202,"916.5233412612279","45688.299","1129.4251732673263"
242,13,"03",2,287,"946.3597449368375","32595.887000000002","1007.3465923344946"
243,14,"02",2,182,"1017.5411450599807","21100.064999999988","1027.7215934065928"
244,14,"04",2,220,"945.5939201403645","77826.777","959.7567272727282"
245,14,"07",2,146,"952.8748804156387","50072.434","961.5691780821915"
246,15,"01",2,302,"2195.7236976228187","2256234.9619999994","0"
247,15,"02",2,287,"2215.850485656752","2384560.727","0"
248,15,"03",2,139,"1995.993907567385","1078702.452","0"
249,15,"04",2,186,"2100.8528832532215","1540768.0839999998","0"
250,15,"05",2,274,"1993.6640229218665","2130821.916","0"
251,15,"06",2,148,"2156.62100130251","1168793.716","0"
252,17,"03",2,43,"2657.640326290968","41984","3461.7558372093026"
253,17,"04",2,67,"3600.477415570067","92331","3629.862940298508"
254,17,"05",2,60,"3374.3009083424313","77855","4069.6269666666662"
255,17,"06",2,191,"2088.7108912720546","486048","2100.241612565444"
256,17,"07",2,91,"2195.4300773016935","187525","2430.866978021979"
257,17,"08",2,174,"1448.6043283738727","432574","1641.2695344827591"
258,17,"09",2,249,"1602.5404608543836","652985","1633.5813574297197"
259,18,"01",2,41,"3129.9986185377907","40665.48299999999","3600.956365853658"
260,18,"07",2,35,"1166.0088252389571","3732.0559999999996","1161.2874857142856"
261,18,"08",2,36,"1149.1266673974903","3652.955000000001","1141.8729444444448"
262,18,"09",2,48,"856.4749941289988","25160.444000000003","971.5316874999995"
263,18,"10",2,129,"914.0797207589195","61964.733000000015","950.2141395348845"
264,18,"11",2,291,"1621.6183407282076","1025081.5739999999","1608.8243127147762"
265,18,"12",2,304,"1555.9841243980447","1057664.8959999995","1512.9955789473684"
266,18,"14",2,278,"1669.6048162030943","1107643.8310000005","1524.2456798561147"
267,19,"03",2,58,"2520.2768733973403","50307","2673.567586206897"
268,19,"04",2,158,"2148.0964393068994","128120","2290.323297468355"
269,19,"05",2,200,"2003.979671745129","231960","2082.215419999999"
270,19,"06",2,245,"1356.6051952127073","569466","1465.4508612244908"
271,19,"07",2,215,"1447.8331476424544","518760","1429.6965627906977"
272,19,"08",2,151,"1416.7711527000586","334178","1438.1031589403974"
273,20,"01",2,212,"1632.9012224835076","1377801","1607.9201367924513"
274,20,"02",2,194,"1660.2347246374422","1210495","1595.454340206186"
275,20,"03",2,204,"1557.1718156544969","1254796","1604.5075588235309"
276,20,"04",2,266,"1632.2510045864701","1671438","1636.3236766917305"
277,20,"05",2,289,"1815.487664785333","2083274","1795.202262975779"
278,20,"06",2,283,"1673.159658361733","1963050","1715.1368409893994"
279,21,"02",2,84,"3622.511641217128","80879","3378.9308452380947"
280,21,"03",2,298,"2377.8933757906166","426091","2258.4372583892628"
281,21,"04",2,38,"6241.64106362556","10939","5894.205184210527"
282,21,"05",2,33,"5294.1339189712635","22202","4022.247242424243"
283,22,"01",2,173,"960.7987328777773","18771.043999999994","1133.000242774566"
284,22,"03",2,270,"2039.1395689200285","508911.9260000001","1810.9891851851849"
285,22,"04",2,232,"1746.1056876450339","356579.4500000001","1682.96221551724"
286,22,"05",2,252,"2211.1681076159593","494135.6869999998","1953.1472142857149"
287,22,"06",2,62,"1433.2208210363542","189818.725","1284.1972419354843"
288,22,"07",2,287,"2219.5809150170803","1325660.0979999993","2509.396627177699"
289,22,"08",2,265,"2094.625040298084","1078818.6029999992","2153.1726905660385"
290,24,"01",2,160,"2355.3530165068955","1153386.1199999992","0"
291,24,"02",2,288,"2372.2181291163406","2188259.297000001","0"
292,24,"04",2,279,"2301.6619484732223","2056101.869999999","0"
293,24,"05",2,297,"2433.5858027107874","931166.6309999999","0"
294,24,"06",2,275,"2378.4663432007515","2123500.5219999994","0"
295,24,"07",2,196,"2377.3857297864784","1503908.0729999996","0"
296,24,"08",2,267,"2390.0202196061737","2114693.410000001","0"
297,24,"09",2,281,"2139.309750323127","1640199.1889999988","0"
298,24,"10",2,189,"2061.68704861636","1065009.9789999996","0"
299,25,"01",2,312,"2049.616240361835","3607470.911","0"
300,25,"02",2,202,"1982.1863534638592","2342900.4639999997","0"
301,25,"03",2,223,"2047.0598502343794","2628409.1689999998","0"
302,25,"04",2,233,"1965.1334413920263","2300037.4779999997","0"
303,25,"05",2,283,"1880.851079175888","2991086.8029999994","0"
304,25,"06",2,226,"1993.3303869312956","2566188.380999999","0"
305,25,"07",2,159,"2002.4952786968054","2759305.8889999995","0"
306,25,"08",2,275,"2040.3321523273773","5441076.643000002","0"
307,25,"09",2,257,"1960.8373971217598","5036337.921000002","0"
308,25,"10",2,169,"1941.3218447410034","3108517.628","0"
309,26,"01",2,265,"2346.2234171846535","1352875.7729999998","0"
310,26,"02",2,218,"2657.5649369641205","867321.7099999998","0"
311,26,"03",2,68,"2592.112206294183","196621.86999999997","0"
312,26,"04",2,195,"2428.2269553216315","915810.2390000002","0"
313,26,"05",2,263,"2150.6946147895164","2134637.5289999996","0"
314,26,"06",2,41,"2272.168634434723","301253.973","0"
315,26,"07",2,282,"2280.390290118932","1929980.8760000006","0"
316,26,"08",2,193,"2099.9251725821514","1761555.7330000005","0"
